posx,posy,ang
1090,637,-165.86
1090,637,-166.97
1090,637,-167.21
1091,640,-167.26
1091,639,-167.60
1091,638,-167.97
1090,637,-167.36
1090,637,-166.43
1090,636,-166.13
1090,636,-166.74
1090,636,-167.20
1090,635,-167.39
1090,635,-167.33
1090,636,-167.16
1090,636,-167.00
1090,636,-167.32
1090,636,-167.79
1090,636,-167.74
1090,636,-167.40
1090,636,-165.36
1090,636,-163.19
1090,636,-163.52
1090,636,-163.91
1090,636,-164.18
1090,636,-163.84
1090,636,-164.96
1090,636,-166.47
1090,636,-167.57
1090,636,-167.97
1090,636,-168.22
1090,636,-167.85
1090,636,-167.28
1090,636,-167.25
1090,636,-167.13
1090,636,-167.00
1090,636,-164.84
1090,636,-162.81
1090,636,-163.38
1090,636,-165.23
1088,635,-166.62
1088,632,-167.18
1086,629,-167.01
1086,629,-166.49
1085,625,-165.56
1083,621,-164.37
1082,618,-161.85
1082,618,-159.61
1080,615,-160.14
1081,616,-162.48
1081,619,-164.48
1081,619,-165.44
1083,623,-165.40
1085,622,-162.28
1085,622,-158.68
1082,620,-156.72
1080,616,-155.27
1078,611,-154.74
1075,606,-152.86
1075,606,-150.99
1072,600,-149.07
1067,593,-147.51
1067,593,-146.80
1062,586,-147.31
1057,579,-149.15
1052,572,-150.99
1046,564,-150.82
1046,564,-149.54
1039,557,-149.82
1032,549,-150.90
1026,541,-151.98
1026,541,-152.62
1019,532,-152.74
1012,524,-152.49
1006,516,-152.15
999,507,-151.46
999,507,-150.87
993,497,-151.00
986,488,-151.07
979,479,-148.58
979,479,-145.63
974,473,-145.74
972,470,-147.58
970,466,-149.67
967,463,-151.44
967,463,-151.45
964,458,-148.76
962,456,-146.88
961,456,-145.00
961,455,-145.58
961,455,-148.18
960,454,-151.29
960,453,-153.82
960,453,-154.95
960,453,-154.79
960,453,-153.95
960,453,-153.07
960,453,-150.85
960,453,-148.79
960,453,-149.35
960,454,-150.78
960,454,-152.13
961,455,-152.86
963,458,-152.92
963,458,-152.58
966,461,-151.72
970,467,-150.50
974,473,-144.98
978,478,-140.11
978,478,-137.64
984,484,-132.18
990,490,-122.65
990,490,-114.75
997,494,-108.16
1005,496,-97.99
1005,496,-89.99
1012,498,-80.32
1019,498,-66.62
1026,497,-50.44
1026,497,-39.59
1034,494,-30.10
1040,490,-20.36
1046,485,-9.94
1046,485,-3.48
1052,478,0.48
1056,472,2.58
1059,464,-2.73
1059,464,-1.67
1060,455,-0.36
1061,447,0.56
1062,437,1.27
1062,437,1.58
1063,428,1.51
1064,418,1.26
1064,418,1.01
1064,407,0.44
1063,397,0.34
1063,385,0.56
1063,385,0.87
1064,373,1.11
1065,360,0.78
1065,360,0.26
1067,350,-0.15
1066,345,-0.51
1065,344,-4.44
1065,344,-8.63
1067,344,-14.15
1068,345,-18.97
1068,345,-21.37
1069,343,-25.12
1068,342,-35.19
1068,341,-50.17
1068,341,-61.74
1071,340,-74.44
1074,338,-88.75
1078,337,-103.45
1078,337,-112.24
1083,338,-119.35
1087,338,-128.35
1091,339,-139.72
1091,339,-147.70
1094,341,-154.98
1097,345,-162.15
1099,349,-167.94
1099,349,-170.49
1101,355,-171.36
1102,363,-171.29
1102,363,-170.72
1105,371,-170.50
1107,380,-170.58
1109,389,-171.64
1111,399,-171.99
1111,399,-171.78
1114,409,-170.91
1117,419,-170.86
1119,431,-170.47
1119,431,-170.05
1122,443,-171.45
1123,454,-172.08
1125,468,-172.83
1125,468,-173.34
1126,480,-174.33
1125,487,175.18
1126,490,175.19
1126,490,174.69
1124,493,172.44
1120,495,167.19
1118,498,159.04
1118,498,152.60
1116,500,144.85
1113,502,134.96
1113,502,127.97
1109,502,118.06
1106,503,104.33
1102,502,92.44
1102,502,86.58
1099,501,80.01
1096,498,69.07
1096,498,60.17
1093,495,49.90
1091,492,37.28
1089,489,24.80
1089,489,17.62
1087,486,15.27
1084,483,12.12
1084,483,9.82
1080,476,8.13
1077,467,9.61
1075,458,9.79
1071,448,10.82
1071,448,11.91
1067,438,12.59
1064,428,11.06
1064,428,8.89
1060,417,6.84
1057,407,7.38
1054,396,9.21
1054,396,11.02
1051,385,12.49
1047,374,13.55
1044,363,13.52
1044,363,12.87
1039,351,10.46
1034,340,8.86
1034,340,8.41
1030,327,10.06
1026,314,11.84
1026,314,12.94
1021,302,12.77
1016,290,11.10
